modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-truerand-keywords10-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500	en-cs	16.5	20.9	21.5	11.8	13.0	4.2	15.2	NA
xglm-topic3shot-seen500-trim	en-cs	18.1	NA	24.8	12.2	13.5	4.2	15.4	NA
xglm-topic3shot-seen1000	en-cs	17.6	21.9	20.7	11.2	12.3	4.3	13.6	NA
xglm-topic3shot-seen1000-trim	en-cs	18.5	22.8	23.7	11.2	13.5	4.3	13.9	NA
xglm-topic3shot-seen2000	en-cs	18.3	21.9	17.2	11.4	12.9	4.7	15.1	NA
xglm-topic3shot-seen2000-trim	en-cs	19.1	22.6	22.7	11.4	13.6	4.7	15.1	NA
xglm-topic3shot-all500	en-cs	17.4	20.3	14.3	10.5	12.4	4.0	15.4	19.1
xglm-topic3shot-all500-trim	en-cs	18.6	22.0	23.6	10.8	13.5	4.7	15.5	20.2
xglm-topic3shot-all1000	en-cs	NA	21.4	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all1000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000	en-cs	18.8	22.5	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all	en-cs	22.1	24.6	NA	NA	NA	NA	16.5	NA
xglm-bm25-3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langsxglm-bm25-3shot-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs	en-cs	29.7	NA	28.5	13.0	16.2	18.8	16.7	NA
xglm-sentsim-3shot-langs-trim	en-cs	29.6	NA	27.8	13.0	16.2	19.0	16.7	NA
xglm-sentsim-3shot-all	en-cs	23.1	24.1	24.0	11.8	14.2	16.3	15.8	NA
xglm-sentsim-3shot-all-trim	en-cs	23.3	25.1	24.3	11.8	15.2	16.3	15.8	NA
xglm-topic3shot-lang200	en-cs	20.7	24.7	25.8	11.7	15.8	5.5	15.7	NA
xglm-topic3shot-lang200-trim	en-cs	20.5	24.8	25.2	11.7	16.0	5.5	15.7	NA
xglm-topic3shot-lang500	en-cs	19.5	24.4	25.2	12.6	16.2	5.4	15.5	NA
xglm-topic3shot-lang500-trim	en-cs	19.4	NA	24.6	12.6	16.2	5.4	15.5	NA
xglm-topic3shot-domain200	en-cs	18.0	21.1	10.7	11.8	NA	NA	15.3	NA
xglm-topic3shot-domain200-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-base	en-de	5.3	5.8	2.4	8.0	7.7	6.0	10.7	4.8
xglm-base-trim	en-de	18.5	20.2	16.0	18.2	19.6	11.1	21.0	23.9
verbose-base	en-de	22.4	24.0	18.6	14.8	19.8	11.6	20.9	24.7
verbose-base-trim	en-de	22.2	24.0	18.2	14.8	19.8	11.6	20.9	24.8
xglm-label	en-de	11.5	15.0	8.5	17.0	15.3	9.0	20.2	9.0
xglm-label-trim	en-de	22.8	25.5	19.0	18.7	22.1	12.5	21.7	27.5
xglm-rand-label	en-de	11.8	14.0	5.9	16.8	16.4	9.0	21.6	8.8
xglm-rand-label-trim	en-de	22.1	25.5	18.1	18.1	21.1	12.3	22.4	28.1
xglm-keywords10-seen200	en-de	8.9	10.5	3.2	6.0	8.1	3.2	11.8	4.6
xglm-keywords10-seen200-trim	en-de	23.4	26.2	19.0	18.6	22.0	12.0	22.9	28.5
xglm-rand-keywords10-seen200	en-de	9.1	11.1	3.3	11.0	13.3	4.6	18.5	4.9
xglm-rand-keywords10-seen200-trim	en-de	22.4	26.6	16.7	17.1	22.1	12.1	22.6	28.2
xglm-keywords10-all500	en-de	10.1	11.3	3.7	11.4	12.8	6.5	19.8	5.5
xglm-keywords10-all500-trim	en-de	22.6	26.4	17.9	18.4	22.2	12.1	22.7	27.5
xglm-keywords30-seen200	en-de	8.9	10.5	3.3	10.7	12.6	4.4	19.2	NA
xglm-keywords30-seen200-trim	en-de	22.2	26.4	18.6	18.6	21.7	12.2	22.8	NA
xglm-topic3shot-seen200	en-de	23.1	24.0	19.7	18.0	21.7	11.0	21.7	23.5
xglm-topic3shot-seen200-trim	en-de	25.8	26.0	22.4	18.3	22.9	11.7	22.7	30.5
xglm-topic3shot-all500	en-de	23.7	25.9	18.2	16.8	23.1	9.6	22.9	24.9
xglm-topic3shot-all500-trim	en-de	26.3	27.1	21.6	18.0	23.8	12.3	23.2	29.9
xglm-topic3shot-cc100	en-de	19.8	20.7	14.6	13.3	20.0	7.9	20.1	24.8
xglm-topic3shot-cc100-trim	en-de	25.7	26.6	21.8	18.3	23.6	12.3	23.0	32.2
xglm-topic1shot-seen200	en-de	13.3	16.1	7.8	8.2	15.0	6.4	16.2	11.4
xglm-topic1shot-seen200-trim	en-de	24.7	26.4	20.8	18.4	22.2	12.0	22.1	29.7
xglm-rand-topic3shot-seen200	en-de	21.8	24.1	18.1	17.4	21.7	12.1	22.5	26.1
xglm-rand-topic3shot-seen200-trim	en-de	25.4	26.7	21.5	17.6	22.5	12.1	23.2	30.6
xglm-rand-domain3shot-langs	en-de	25.8	27.2	22.6	17.2	23.9	13.3	23.4	NA
xglm-rand-domain3shot-langs-trim	en-de	25.5	27.4	21.9	17.2	23.9	13.3	23.4	NA
xglm-rand-domain3shot-all	en-de	23.8	25.2	21.3	18.5	22.5	12.6	23.8	NA
xglm-rand-domain3shot-all-trim	en-de	25.2	26.7	21.3	18.5	22.6	12.6	23.8	NA
xglm-truerand-3shot-langs	en-de	26.6	27.1	22.3	18.9	23.1	12.1	23.3	NA
xglm-truerand-3shot-langs-trim	en-de	26.3	27.1	22.2	18.9	23.1	12.1	23.3	NA
xglm-truerand-3shot-all	en-de	24.6	26.4	21.8	18.0	21.8	12.0	23.8	NA
xglm-truerand-3shot-all-trim	en-de	25.9	27.4	22.2	18.2	22.4	12.0	23.8	NA
xglm-topic5shot-seen200	en-de	23.5	25.5	18.1	18.6	21.8	12.0	22.1	NA
xglm-topic5shot-seen200-trim	en-de	26.6	27.6	22.7	18.6	22.8	12.0	22.5	NA
xglm-keywords10-cc100	en-de	9.9	10.5	3.4	9.9	13.8	6.2	20.4	NA
xglm-keywords10-cc100-trim	en-de	23.2	26.0	17.8	15.9	22.9	12.4	23.2	NA
xglm-keywords10-topic3shot-seen200	en-de	23.0	24.7	18.2	18.8	21.0	10.9	21.4	NA
xglm-keywords10-topic3shot-seen200-trim	en-de	25.9	26.0	22.2	19.3	23.5	11.8	23.0	NA
xglm-rand-domainkeywords10-langs	en-de	11.1	14.8	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-langs-trim	en-de	22.4	27.0	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all	en-de	9.3	11.6	4.0	15.7	16.4	6.7	21.7	NA
xglm-rand-domainkeywords10-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500	en-de	21.7	26.5	18.5	18.8	22.5	11.9	23.9	NA
xglm-topic3shot-seen500-trim	en-de	25.9	NA	21.7	19.1	23.4	11.9	24.0	NA
xglm-topic3shot-seen1000	en-de	21.9	25.8	20.5	17.4	22.8	12.0	22.4	NA
xglm-topic3shot-seen1000-trim	en-de	26.0	27.1	21.3	17.4	23.0	12.0	22.8	NA
xglm-topic3shot-seen2000	en-de	23.5	25.6	20.9	18.3	22.0	12.6	22.3	NA
xglm-topic3shot-seen2000-trim	en-de	25.9	26.7	21.3	18.4	22.9	12.6	22.7	NA
xglm-topic3shot-all500	en-de	23.7	25.9	18.2	16.8	23.1	9.6	22.9	24.9
xglm-topic3shot-all500-trim	en-de	26.3	27.1	21.6	18.0	23.8	12.3	23.2	29.9
xglm-topic3shot-all1000	en-de	NA	26.4	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all1000-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000	en-de	NA	24.8	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all	en-de	26.6	29.9	21.7	18.3	NA	NA	NA	NA
xglm-bm25-3shot-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langsxglm-bm25-3shot-langs-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs	en-de	30.7	32.9	25.7	17.8	24.8	23.2	23.0	NA
xglm-sentsim-3shot-langs-trim	en-de	30.7	32.9	25.0	17.8	24.8	23.2	23.0	NA
xglm-sentsim-3shot-all	en-de	26.9	28.0	21.9	18.1	24.4	20.6	23.0	NA
xglm-sentsim-3shot-all-trim	en-de	27.9	28.6	22.7	18.1	24.8	20.6	23.0	NA
xglm-topic3shot-lang200	en-de	28.0	29.2	23.1	18.4	23.1	12.7	22.8	NA
xglm-topic3shot-lang200-trim	en-de	28.4	29.5	22.5	18.4	23.1	12.6	22.8	NA
xglm-topic3shot-lang500	en-de	26.9	27.3	23.7	18.4	23.4	13.1	23.8	NA
xglm-topic3shot-lang500-trim	en-de	26.9	27.4	23.0	18.4	23.4	13.1	23.8	NA
xglm-topic3shot-domain200	en-de	21.8	23.1	18.4	18.0	NA	NA	23.4	NA
xglm-topic3shot-domain200-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-base	en-fi	1.0	1.1	1.0	1.0	1.8	NA	1.9	1.4
xglm-base-trim	en-fi	5.3	5.0	13.7	5.0	6.4	NA	6.0	8.1
verbose-base	en-fi	11.6	7.4	14.1	5.2	10.4	NA	10.8	13.9
verbose-base-trim	en-fi	11.2	7.4	14.0	5.2	10.4	NA	10.8	13.9
xglm-label	en-fi	4.8	4.3	5.0	6.0	6.9	NA	10.2	3.1
xglm-label-trim	en-fi	9.0	7.5	16.6	7.1	10.1	NA	11.6	10.7
xglm-rand-label	en-fi	4.7	4.0	2.7	4.9	6.9	NA	9.4	3.2
xglm-rand-label-trim	en-fi	9.1	7.9	17.3	6.5	10.0	NA	11.1	10.4
xglm-keywords10-seen200	en-fi	3.6	3.0	1.5	2.2	4.2	NA	6.7	2.4
xglm-keywords10-seen200-trim	en-fi	9.0	7.5	12.9	6.6	11.1	NA	12.6	10.0
xglm-rand-keywords10-seen200	en-fi	4.6	3.2	1.5	3.5	6.1	NA	11.4	2.7
xglm-rand-keywords10-seen200-trim	en-fi	10.2	8.1	10.5	6.8	12.7	NA	13.2	10.8
xglm-keywords10-all500	en-fi	4.5	3.5	1.8	4.0	6.5	NA	11.1	2.9
xglm-keywords10-all500-trim	en-fi	9.7	8.0	13.1	6.9	12.0	NA	13.2	10.3
xglm-keywords30-seen200	en-fi	4.6	3.1	1.5	2.9	6.0	NA	10.0	NA
xglm-keywords30-seen200-trim	en-fi	9.5	7.5	10.2	6.9	11.8	NA	11.7	NA
xglm-topic3shot-seen200	en-fi	12.7	9.3	12.8	5.9	11.4	NA	11.4	12.5
xglm-topic3shot-seen200-trim	en-fi	12.4	9.8	19.6	6.4	13.7	NA	12.4	15.8
xglm-topic3shot-all500	en-fi	13.3	9.1	11.8	7.3	12.4	NA	14.1	12.4
xglm-topic3shot-all500-trim	en-fi	13.7	10.3	19.3	7.6	13.4	NA	14.1	16.3
xglm-topic3shot-cc100	en-fi	10.8	7.5	9.7	5.3	10.9	NA	13.0	12.2
xglm-topic3shot-cc100-trim	en-fi	12.2	8.7	17.9	6.3	12.2	NA	13.0	16.2
xglm-topic1shot-seen200	en-fi	7.0	7.0	6.7	5.3	9.1	NA	9.6	6.9
xglm-topic1shot-seen200-trim	en-fi	11.0	8.7	18.8	7.6	12.5	NA	13.0	14.2
xglm-rand-topic3shot-seen200	en-fi	11.3	7.5	15.5	6.5	11.5	NA	11.8	13.5
xglm-rand-topic3shot-seen200-trim	en-fi	12.3	8.4	19.7	6.9	12.7	NA	13.1	16.2
xglm-rand-domain3shot-langs	en-fi	13.7	8.9	22.7	6.6	14.7	NA	15.0	NA
xglm-rand-domain3shot-langs-trim	en-fi	13.0	9.1	22.4	6.6	14.7	NA	15.0	NA
xglm-rand-domain3shot-all	en-fi	12.0	8.8	18.8	6.0	12.4	NA	13.4	NA
xglm-rand-domain3shot-all-trim	en-fi	11.8	9.0	21.9	6.0	13.4	NA	13.4	NA
xglm-truerand-3shot-langs	en-fi	14.1	8.8	22.9	7.8	14.6	NA	14.9	NA
xglm-truerand-3shot-langs-trim	en-fi	13.5	8.9	22.6	7.8	14.7	NA	14.9	NA
xglm-truerand-3shot-all	en-fi	13.2	8.1	18.4	7.8	12.5	NA	14.1	NA
xglm-truerand-3shot-all-trim	en-fi	12.5	8.9	22.4	7.9	12.8	NA	14.1	NA
xglm-topic5shot-seen200	en-fi	12.2	9.8	11.9	7.1	11.3	NA	13.3	NA
xglm-topic5shot-seen200-trim	en-fi	12.9	10.5	21.7	7.1	13.1	NA	13.6	NA
xglm-keywords10-cc100	en-fi	5.0	3.0	1.5	3.7	5.9	NA	11.2	NA
xglm-keywords10-cc100-trim	en-fi	10.7	7.5	12.9	7.2	11.7	NA	12.2	NA
xglm-keywords10-topic3shot-seen200	en-fi	11.9	9.2	9.2	5.2	12.0	NA	12.1	NA
xglm-keywords10-topic3shot-seen200-trim	en-fi	12.5	9.9	18.0	5.6	14.0	NA	13.2	NA
xglm-rand-domainkeywords10-langs	en-fi	NA	NA	1.8	5.6	6.7	NA	11.9	NA
xglm-rand-domainkeywords10-langs-trim	en-fi	NA	NA	16.5	6.4	11.4	NA	12.2	NA
xglm-rand-domainkeywords10-all	en-fi	3.9	3.2	1.6	4.4	5.7	NA	10.2	NA
xglm-rand-domainkeywords10-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500	en-fi	12.8	8.4	18.5	7.4	11.7	NA	13.3	NA
xglm-topic3shot-seen500-trim	en-fi	13.2	9.4	20.9	7.5	13.4	NA	13.4	NA
xglm-topic3shot-seen1000	en-fi	13.3	10.0	15.1	6.8	12.2	NA	12.9	NA
xglm-topic3shot-seen1000-trim	en-fi	12.9	10.9	20.9	6.9	13.1	NA	12.9	NA
xglm-topic3shot-seen2000	en-fi	11.9	9.8	18.5	7.7	11.8	NA	13.3	NA
xglm-topic3shot-seen2000-trim	en-fi	12.6	10.1	21.0	7.7	11.8	NA	13.3	NA
xglm-topic3shot-all500	en-fi	13.3	9.1	11.8	7.3	12.4	NA	14.1	12.4
xglm-topic3shot-all500-trim	en-fi	13.7	10.3	19.3	7.6	13.4	NA	14.1	16.3
xglm-topic3shot-all1000	en-fi	11.2	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all1000-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000	en-fi	12.6	8.9	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all	en-fi	18.8	23.9	19.7	7.9	16.0	NA	NA	NA
xglm-bm25-3shot-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langsxglm-bm25-3shot-langs-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs	en-fi	21.8	22.8	23.9	8.4	19.3	NA	16.6	NA
xglm-sentsim-3shot-langs-trim	en-fi	21.1	22.8	23.6	8.4	19.3	NA	16.6	NA
xglm-sentsim-3shot-all	en-fi	17.4	22.3	20.9	8.3	16.6	NA	17.0	NA
xglm-sentsim-3shot-all-trim	en-fi	16.8	22.3	23.7	8.3	16.5	NA	17.1	NA
xglm-topic3shot-lang200	en-fi	14.5	11.1	23.0	7.9	14.7	NA	14.3	NA
xglm-topic3shot-lang200-trim	en-fi	14.1	11.4	22.7	7.9	14.8	NA	14.3	NA
xglm-topic3shot-lang500	en-fi	NA	10.2	23.3	7.2	14.9	NA	14.8	NA
xglm-topic3shot-lang500-trim	en-fi	NA	10.2	23.0	7.2	14.8	NA	14.8	NA
xglm-topic3shot-domain200	en-fi	12.6	10.8	11.9	6.9	NA	NA	13.1	NA
xglm-topic3shot-domain200-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-base	en-fr	6.4	9.6	4.8	5.9	7.7	2.9	12.8	5.8
xglm-base-trim	en-fr	20.8	28.3	25.4	20.5	25.3	12.1	27.2	30.6
verbose-base	en-fr	28.3	33.3	32.8	17.7	25.6	11.3	27.3	33.3
verbose-base-trim	en-fr	28.1	33.3	32.8	17.7	25.6	11.3	27.3	33.3
xglm-label	en-fr	15.4	23.1	17.4	18.7	20.7	6.1	28.3	13.1
xglm-label-trim	en-fr	28.8	33.7	31.7	22.7	29.7	13.2	29.2	37.4
xglm-rand-label	en-fr	15.6	20.9	13.0	17.8	20.6	7.1	29.6	13.4
xglm-rand-label-trim	en-fr	28.0	33.3	30.8	21.5	28.9	12.8	30.1	38.3
xglm-keywords10-seen200	en-fr	11.2	14.7	6.3	5.1	8.4	2.6	13.7	6.2
xglm-keywords10-seen200-trim	en-fr	29.6	35.2	33.4	23.9	28.5	13.1	31.7	38.8
xglm-rand-keywords10-seen200	en-fr	12.3	14.6	6.9	10.5	13.7	3.4	21.8	7.1
xglm-rand-keywords10-seen200-trim	en-fr	30.0	34.9	32.7	23.2	30.6	13.0	30.2	39.2
xglm-keywords10-all500	en-fr	12.8	14.7	7.4	10.3	13.5	4.6	24.5	7.2
xglm-keywords10-all500-trim	en-fr	30.4	34.7	32.9	22.5	30.2	13.1	31.4	35.7
xglm-keywords30-seen200	en-fr	11.7	14.1	6.6	9.5	12.7	3.1	24.7	NA
xglm-keywords30-seen200-trim	en-fr	29.1	35.7	33.6	23.5	29.0	12.6	31.7	NA
xglm-topic3shot-seen200	en-fr	29.5	36.0	27.6	22.7	28.6	12.0	30.4	34.2
xglm-topic3shot-seen200-trim	en-fr	31.7	36.0	34.4	22.9	30.1	12.8	30.5	39.4
xglm-topic3shot-all500	en-fr	30.5	35.8	28.8	21.5	28.4	9.7	30.1	37.2
xglm-topic3shot-all500-trim	en-fr	31.8	36.0	34.7	22.3	30.3	13.4	30.6	40.0
xglm-topic3shot-cc100	en-fr	26.5	31.2	26.6	16.0	24.1	6.1	28.7	32.3
xglm-topic3shot-cc100-trim	en-fr	31.2	35.0	34.0	23.2	30.2	12.5	30.9	40.3
xglm-topic1shot-seen200	en-fr	16.9	25.4	16.6	15.2	17.6	5.6	20.3	16.4
xglm-topic1shot-seen200-trim	en-fr	29.5	35.6	32.7	22.8	28.2	13.0	30.7	39.3
xglm-rand-topic3shot-seen200	en-fr	28.9	34.1	32.6	23.8	27.9	12.5	30.5	34.5
xglm-rand-topic3shot-seen200-trim	en-fr	31.4	35.3	33.7	23.9	29.2	13.1	31.2	39.4
xglm-rand-domain3shot-langs	en-fr	33.2	37.1	36.3	24.4	30.9	14.1	31.7	NA
xglm-rand-domain3shot-langs-trim	en-fr	32.8	37.0	36.2	24.4	30.9	14.1	31.7	NA
xglm-rand-domain3shot-all	en-fr	30.8	35.9	33.9	23.3	29.6	13.0	31.6	NA
xglm-rand-domain3shot-all-trim	en-fr	32.0	35.9	33.7	23.5	30.5	13.2	31.6	NA
xglm-truerand-3shot-langs	en-fr	32.6	35.7	34.9	23.8	30.1	13.6	30.9	NA
xglm-truerand-3shot-langs-trim	en-fr	32.1	35.6	34.7	23.8	30.1	13.6	30.9	NA
xglm-truerand-3shot-all	en-fr	31.0	36.3	35.0	24.2	29.5	12.7	31.0	NA
xglm-truerand-3shot-all-trim	en-fr	30.5	36.3	34.9	24.3	29.7	12.7	31.2	NA
xglm-topic5shot-seen200	en-fr	28.9	37.5	25.7	23.7	27.9	12.5	30.6	NA
xglm-topic5shot-seen200-trim	en-fr	31.3	37.5	34.2	23.7	29.4	12.8	30.6	NA
xglm-keywords10-cc100	en-fr	13.3	14.3	6.3	8.6	13.0	3.9	23.4	NA
xglm-keywords10-cc100-trim	en-fr	30.2	34.1	32.1	23.2	30.8	12.5	30.6	NA
xglm-keywords10-topic3shot-seen200	en-fr	27.7	35.1	26.1	23.5	28.9	11.9	31.5	NA
xglm-keywords10-topic3shot-seen200-trim	en-fr	32.3	36.5	34.2	23.8	30.7	12.7	31.6	NA
xglm-rand-domainkeywords10-langs	en-fr	15.2	20.0	10.7	19.2	20.8	9.1	29.2	NA
xglm-rand-domainkeywords10-langs-trim	en-fr	30.0	34.5	32.7	23.3	28.9	12.7	30.4	NA
xglm-rand-domainkeywords10-all	en-fr	12.6	15.4	NA	16.1	16.5	4.4	28.6	NA
xglm-rand-domainkeywords10-all-trim	en-fr	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs	en-fr	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-fr	NA	NA	NA	NA	NA	NA	NA	NA
